Temperature_C,Humidity_pct,Occupants,Home_Size_sqft,AC_Hours,Fan_Hours,Fridge_Hours,WashingMachine_Hours,TV_Hours,Computer_Hours,WaterHeater_Hours,Previous_Day_kWh,Solar_Available,Weekday,Month,Daily_Consumption_kWh,Energy_Waste
31.5,35.7,1,1896,4.6,9.2,20.1,1.3,8.6,0.8,1.6,10.8,1,1,7,26.48,1
27.6,46.3,1,400,0.3,15.2,24.0,0.8,0.0,6.4,1.0,20.3,0,1,5,21.85,1
20.6,52.2,4,1317,0.2,4.5,19.7,0.5,3.6,6.4,0.7,24.2,0,0,4,24.9,1
33.7,62.2,2,1363,9.9,9.7,16.0,1.3,2.6,1.5,1.0,7.9,0,1,6,29.05,0
27.2,44.6,1,1737,3.3,13.5,18.6,0.6,8.6,5.8,1.7,18.4,0,1,1,29.24,1
24.8,51.7,2,1185,1.6,9.2,18.7,1.6,0.5,2.7,0.5,26.8,0,1,2,22.19,1
33.5,68.8,4,577,1.0,9.7,15.1,6.4,0.6,1.6,2.0,25.8,0,1,12,31.37,1
30.7,64.8,5,1220,3.4,8.8,13.1,0.9,4.3,2.6,0.1,10.0,0,1,11,27.12,1
21.9,70.5,6,913,5.0,11.5,24.0,2.6,4.1,1.3,2.4,16.3,0,1,8,28.13,0
28.5,68.6,6,1393,2.7,3.6,24.0,3.0,2.7,2.3,0.0,16.3,0,1,7,29.89,1
27.7,42.8,5,635,6.8,9.4,18.7,2.8,5.9,3.2,1.2,17.5,1,0,12,26.92,1
34.0,48.8,5,1111,7.9,8.5,14.2,3.6,7.2,0.6,2.4,4.1,0,1,12,31.93,1
19.5,64.0,1,1140,2.6,13.1,17.9,1.3,5.6,6.3,1.2,11.2,0,0,1,24.14,1
27.1,67.8,2,2561,5.4,10.4,23.1,1.0,2.6,2.1,1.9,4.7,0,1,9,30.97,1
28.3,54.9,2,1324,4.5,8.0,15.3,0.2,0.0,4.2,5.0,25.8,0,1,2,29.53,1
36.1,76.1,1,1571,5.9,5.7,23.7,0.9,1.0,3.7,0.1,25.4,0,1,5,33.0,1
23.6,53.0,3,1089,3.2,7.6,22.6,1.5,5.1,3.0,0.9,16.5,0,0,4,23.59,1
16.0,55.3,1,1749,4.1,9.8,21.3,0.3,2.5,5.1,0.3,20.1,0,1,11,28.1,1
22.1,62.7,4,1112,2.1,11.2,18.3,1.3,3.9,1.8,1.4,22.3,0,0,12,24.28,1
30.3,66.4,4,1467,1.0,11.2,18.1,3.7,5.8,5.8,0.9,17.6,0,1,6,30.03,1
33.0,54.1,5,1107,6.6,10.7,22.5,2.4,4.8,3.8,0.1,20.9,0,1,1,35.08,1
37.7,61.5,4,1440,1.7,9.5,16.6,0.8,3.8,7.8,0.6,15.9,1,1,9,26.62,1
31.0,49.1,2,1611,5.7,10.8,20.0,2.0,2.6,5.8,2.2,24.0,1,0,8,34.54,1
25.0,52.4,5,1153,5.2,8.4,22.2,6.4,4.1,3.6,0.2,7.5,0,1,3,26.63,0
33.4,84.1,5,2796,2.5,11.6,21.5,1.5,3.9,1.3,0.8,19.4,1,1,11,32.49,1
28.9,46.7,1,1105,4.4,2.6,24.0,1.0,1.6,0.0,1.7,15.5,0,0,10,21.39,0
28.0,84.0,1,1047,4.7,7.8,17.1,0.6,3.4,3.6,0.7,32.7,0,0,6,28.75,1
29.1,54.5,6,882,3.6,9.1,20.8,0.4,5.5,1.4,2.2,23.2,0,1,1,30.99,1
35.4,80.2,2,1261,3.8,4.6,24.0,3.3,4.2,0.0,2.3,4.9,0,1,1,27.03,1
24.5,56.3,4,1630,9.0,8.4,15.8,0.2,5.6,5.2,1.3,33.6,0,1,2,35.3,1
23.9,47.8,3,1164,4.2,11.8,14.1,2.0,5.4,2.5,1.4,11.4,0,1,7,24.33,1
28.7,61.5,6,1047,1.4,10.4,18.3,0.9,4.3,5.3,0.4,25.3,0,0,6,30.16,1
28.7,62.5,3,892,6.1,10.1,22.6,3.2,2.8,2.2,0.6,29.3,0,1,10,32.75,1
24.9,66.2,3,1516,7.7,9.7,16.5,3.4,3.2,3.0,1.7,11.2,0,0,10,23.9,0
24.6,48.7,5,1228,2.9,4.4,19.0,2.1,0.1,2.7,1.7,31.4,1,0,5,27.54,1
30.9,41.9,1,1169,4.0,7.4,15.0,4.5,0.0,5.3,0.1,19.5,0,0,4,27.38,1
35.7,59.6,5,1189,7.9,9.4,17.8,2.5,0.0,2.0,0.3,23.0,0,1,8,32.85,1
32.6,56.1,1,1048,2.1,7.7,13.9,4.9,2.7,3.1,1.8,8.7,0,1,1,23.99,1
32.4,51.8,2,1074,3.2,8.0,16.2,1.6,6.4,4.7,0.8,15.8,0,1,5,25.47,1
35.2,61.5,3,879,5.1,10.2,10.2,1.0,4.6,4.3,0.8,29.5,1,1,9,28.99,1
19.0,81.9,3,1363,3.4,7.2,20.8,2.1,2.9,2.7,0.4,23.8,0,0,5,28.95,1
21.4,80.3,3,1009,11.0,10.9,12.0,2.3,3.7,3.8,2.2,21.6,0,1,3,33.05,1
25.5,67.5,6,1589,3.2,6.0,21.5,1.6,4.3,2.7,1.0,8.8,0,0,10,28.27,1
23.0,82.1,5,1362,1.7,9.5,17.7,2.0,6.7,3.1,0.3,19.3,0,1,5,26.99,1
24.1,90.8,1,517,1.2,8.5,22.5,1.1,4.5,0.0,2.0,17.7,0,1,9,18.56,0
29.3,84.2,3,1925,4.8,10.9,17.4,0.5,2.3,0.1,0.5,17.6,0,1,2,27.57,1
22.6,39.3,1,1072,5.5,8.2,19.9,1.5,5.5,0.3,2.3,22.3,0,1,6,25.09,0
26.8,53.1,3,1625,6.1,5.3,24.0,0.2,6.8,0.3,1.1,13.0,0,1,2,29.43,1
18.8,67.9,6,1164,0.7,8.8,17.5,2.3,3.4,3.9,1.0,11.8,0,0,12,25.46,1
24.1,77.3,6,1335,3.4,11.8,12.7,0.3,6.9,6.1,0.3,13.2,0,1,12,29.9,1
35.7,46.2,3,1660,3.5,4.1,11.6,1.1,2.0,2.3,2.1,10.0,1,0,12,26.66,1
26.3,94.9,4,1082,4.7,11.1,19.5,0.5,6.4,4.5,0.4,23.3,0,1,7,30.87,1
30.6,54.5,3,749,2.9,10.9,19.0,0.5,4.2,4.0,0.1,15.0,0,1,2,24.62,1
32.5,50.1,6,900,2.6,6.0,22.2,3.2,3.3,1.9,0.8,31.2,0,0,6,29.46,1
26.5,34.4,4,1862,7.5,14.6,22.7,2.9,7.1,3.1,0.2,25.4,0,0,4,34.03,0
31.9,76.8,1,1173,1.0,8.8,8.0,1.7,6.8,2.0,1.2,32.0,0,0,10,28.82,1
30.1,78.2,5,622,1.1,9.3,15.0,0.9,2.8,6.3,0.7,22.2,0,1,8,27.2,1
32.5,77.0,5,1271,2.5,12.4,18.6,2.0,3.9,1.8,1.1,13.4,0,1,8,31.28,1
25.8,67.3,3,786,1.4,13.5,22.8,3.8,0.6,2.1,0.5,16.9,0,0,5,22.92,1
21.8,69.2,2,660,4.8,8.4,13.2,0.3,3.4,3.5,0.4,14.4,1,0,12,18.52,1
23.9,65.7,1,1571,2.8,5.2,20.3,1.8,4.6,4.3,0.5,18.0,0,0,3,24.15,1
26.2,89.8,3,1691,4.9,9.3,17.3,1.1,4.3,2.3,0.4,21.3,1,1,9,24.08,0
31.7,74.5,2,1147,0.8,6.0,18.0,0.7,4.1,1.5,0.6,15.2,1,1,1,20.27,1
28.0,79.3,3,736,2.9,9.4,16.7,0.6,1.6,3.9,1.1,16.5,0,0,8,21.22,0
27.0,40.7,3,400,1.7,8.1,22.6,0.8,4.6,4.9,1.3,22.7,0,1,7,21.12,0
28.1,41.0,3,1385,4.7,7.6,17.4,2.6,1.2,2.3,2.0,19.7,0,0,7,29.34,1
34.5,80.5,1,1621,7.1,8.4,22.0,3.0,1.0,7.3,0.1,21.1,0,1,4,33.25,1
26.1,72.9,4,680,2.4,8.4,24.0,0.9,4.3,2.8,0.3,13.8,0,1,5,25.19,1
36.6,71.6,4,2027,3.1,7.2,20.0,2.0,6.4,2.4,0.2,11.0,1,1,3,25.79,0
22.9,63.0,3,400,8.1,10.2,18.8,0.3,0.0,2.5,1.6,15.9,0,1,5,25.09,1
26.0,68.5,6,790,2.9,10.4,18.8,1.6,0.9,0.2,0.6,19.6,1,1,9,21.23,1
33.3,57.9,6,1859,6.9,6.5,11.8,2.2,0.1,3.3,1.0,7.9,0,1,10,28.48,0
31.6,73.3,3,1847,4.1,7.9,17.7,0.7,4.4,2.0,0.4,21.9,0,1,3,35.52,1
24.7,40.6,4,513,2.7,9.1,16.2,1.1,4.8,4.6,0.7,28.5,0,0,7,24.69,1
28.5,65.6,2,1680,1.5,10.4,17.8,1.4,2.2,3.2,0.8,21.1,0,1,4,28.71,1
25.5,55.2,3,1900,6.2,8.5,13.7,1.3,1.3,1.7,0.5,8.8,1,0,8,20.8,0
33.3,51.9,6,1645,8.6,12.0,19.9,1.9,0.2,3.5,0.1,17.9,0,0,2,35.38,1
31.7,60.9,5,1286,7.0,6.6,23.2,2.4,1.6,3.7,0.2,16.7,0,0,3,29.6,0
25.4,61.3,3,1339,1.8,3.1,20.7,0.4,3.7,4.6,0.8,6.3,0,0,2,23.58,1
31.0,62.4,1,564,6.2,9.6,23.4,2.5,2.8,3.1,1.3,12.9,0,0,4,28.8,1
27.2,87.7,3,1268,1.5,14.5,19.2,0.9,1.9,0.7,0.6,19.2,0,0,4,22.53,0
28.6,46.7,1,1204,5.6,5.1,11.2,2.1,0.5,3.7,2.6,12.8,0,0,11,25.47,1
29.3,50.5,3,760,1.8,14.5,21.9,0.5,5.0,3.7,0.2,13.0,1,1,3,19.74,1
26.2,64.3,1,756,2.6,7.5,22.1,8.0,1.5,4.1,1.2,24.7,1,1,4,27.89,1
31.1,63.9,5,947,3.1,8.9,17.4,2.2,4.1,2.8,0.1,21.4,0,1,12,29.16,1
31.3,69.6,3,1123,5.4,9.4,22.5,1.4,2.0,2.5,2.2,19.8,0,0,4,32.3,1
31.1,77.2,3,1751,3.7,9.3,23.0,1.9,4.0,5.8,0.2,19.4,0,1,2,30.3,1
34.5,68.9,5,1334,4.0,5.3,16.8,2.4,0.9,3.3,0.3,17.9,1,0,9,27.36,1
27.6,51.6,5,1517,7.8,14.0,11.4,2.5,4.5,6.6,0.5,10.4,0,1,12,34.47,1
21.6,95.0,3,1793,1.9,4.4,17.0,1.9,2.1,4.1,1.6,16.4,0,1,11,25.97,1
26.6,66.8,5,725,4.1,12.0,12.6,1.0,5.1,3.5,0.8,21.0,0,1,9,28.51,1
30.0,64.6,1,1260,1.1,10.2,17.2,0.8,2.9,4.9,1.2,7.0,0,1,3,20.77,1
29.1,65.1,1,1061,1.7,8.2,12.1,1.3,0.0,5.4,0.0,26.8,0,1,2,27.8,1
31.9,52.0,3,925,9.3,10.3,14.5,0.6,6.2,4.8,1.9,19.1,0,0,6,37.18,1
33.0,53.2,3,1603,4.2,12.9,19.0,2.5,3.7,1.4,0.1,4.0,0,0,11,23.49,0
28.4,64.3,5,1221,2.4,4.6,18.8,1.0,3.8,2.3,1.4,31.4,0,0,9,28.28,1
28.4,67.8,6,2001,7.4,6.3,16.7,0.2,6.6,1.7,0.3,21.9,0,0,1,35.11,1
24.1,71.6,6,1055,4.9,2.3,22.0,1.8,2.6,5.0,0.5,7.6,1,0,2,24.35,1
34.2,49.2,1,1894,5.3,14.4,16.1,1.6,1.6,2.1,1.2,14.0,1,0,7,28.19,1
27.7,74.0,4,784,1.9,11.1,19.9,1.7,6.0,4.4,0.4,26.2,1,1,2,23.06,1
23.6,48.5,2,1590,5.0,15.3,20.0,2.3,6.5,4.5,0.4,17.0,0,1,5,29.59,1
23.4,79.2,1,1003,4.2,9.2,21.4,0.7,1.6,4.0,2.3,11.8,0,0,9,23.27,1
26.9,95.0,5,1616,0.6,7.4,16.1,1.7,1.2,4.1,2.6,10.9,0,0,7,24.71,1
36.8,45.7,6,1629,9.3,3.1,24.0,0.6,2.2,0.8,1.1,12.0,0,1,11,30.08,0
32.9,71.1,4,1803,2.9,4.7,21.1,1.7,1.5,0.6,3.1,18.2,0,0,5,30.78,1
20.5,78.8,5,1045,3.5,11.6,21.6,1.8,3.8,7.4,0.0,31.8,0,1,1,33.01,1
28.4,57.1,4,1517,4.1,4.3,14.2,1.7,5.5,2.6,0.9,25.8,1,0,2,24.3,0
30.3,84.8,2,932,1.9,9.5,14.7,0.9,3.1,0.7,0.1,20.1,0,0,5,25.11,1
32.1,42.4,6,958,1.9,8.1,15.6,3.3,2.1,4.3,1.5,25.1,0,1,9,28.4,1
30.7,55.0,2,1228,4.5,10.6,17.9,3.5,1.6,6.8,0.6,12.4,0,1,8,30.55,1
25.8,72.2,3,400,3.9,7.6,15.9,0.6,6.0,2.8,0.5,11.1,0,0,10,20.7,1
31.1,86.1,2,1531,7.0,8.6,17.4,2.0,2.9,1.9,0.5,11.0,0,0,5,25.91,0
26.2,56.7,6,878,4.3,4.9,23.7,0.6,4.1,1.1,0.3,21.8,0,1,6,26.17,1
17.8,43.2,3,1442,2.3,8.3,20.7,0.4,4.5,3.3,0.7,31.4,0,0,8,32.89,1
25.5,71.6,5,816,2.2,6.8,17.8,0.4,5.1,3.7,1.4,29.6,0,0,8,28.14,1
25.6,87.8,5,1289,9.4,7.0,20.7,0.8,6.3,0.0,2.0,6.0,0,0,4,30.14,1
33.8,71.6,1,706,0.7,6.0,14.5,2.3,4.8,2.6,2.0,18.1,0,1,12,19.28,0
34.3,53.2,3,1638,1.9,10.1,14.7,0.6,0.0,2.9,1.6,6.1,0,0,5,30.0,1
23.8,43.6,4,1463,2.4,11.3,17.6,2.4,7.6,4.2,1.0,20.4,0,0,4,27.07,1
29.9,95.0,5,1172,4.8,8.0,22.7,0.1,3.7,1.5,0.5,28.2,0,0,11,34.38,1
29.5,67.2,4,1177,0.2,10.3,21.1,1.0,5.9,1.5,1.2,18.0,0,1,11,24.83,1
21.8,39.7,4,695,1.2,9.6,21.2,4.4,3.0,4.5,3.7,21.9,0,1,8,27.28,1
18.7,37.8,2,1063,1.8,7.7,24.0,3.0,2.9,3.7,1.0,9.7,0,0,4,18.62,0
28.5,82.3,5,1988,2.5,11.4,17.3,0.6,3.2,3.4,1.1,11.8,1,0,4,27.17,1
29.7,83.2,1,1354,4.3,11.6,15.7,1.1,5.2,5.7,1.7,27.5,0,1,10,33.73,1
26.0,62.7,4,1902,1.5,8.2,20.3,1.6,0.0,4.1,1.1,28.6,0,0,9,25.5,0
16.0,57.3,3,1943,5.8,7.8,19.6,0.6,3.0,3.0,1.5,17.4,1,1,11,23.86,0
28.9,75.2,4,400,5.1,9.7,15.2,2.9,5.1,3.4,1.1,23.6,0,0,7,30.2,1
26.1,76.5,1,1449,7.2,9.5,8.9,0.1,4.5,2.2,2.1,9.7,0,1,1,30.03,1
24.6,67.6,2,1461,2.8,8.2,22.9,0.3,4.7,5.7,1.9,20.9,1,0,7,24.48,1
27.4,45.6,1,1837,6.6,9.0,19.4,2.1,0.0,4.0,1.9,30.5,0,1,8,33.29,1
23.4,68.6,4,1331,8.1,5.3,19.8,2.4,1.3,0.8,0.7,9.7,0,1,8,27.56,1
31.8,95.0,1,400,4.2,4.8,15.2,1.1,0.8,3.3,1.5,20.0,1,1,10,22.46,1
29.1,48.4,1,1474,2.3,9.4,18.3,1.3,7.0,5.9,3.6,19.9,0,0,11,29.5,1
26.2,52.9,6,2203,3.7,6.2,16.3,0.4,5.1,7.7,2.1,15.1,0,1,2,32.6,1
30.4,52.3,1,1034,0.7,9.7,20.0,0.1,3.8,0.0,0.4,26.7,0,1,4,18.99,0
28.8,52.1,5,862,1.3,6.0,22.5,0.1,3.3,4.1,0.3,26.5,1,1,7,23.49,1
21.4,86.7,3,1372,3.7,11.5,18.6,1.1,3.5,2.0,0.2,22.5,0,0,10,29.59,1
28.3,74.8,5,1375,2.4,13.5,16.8,1.5,3.2,4.8,1.0,22.2,0,1,11,30.88,1
26.7,48.9,2,696,10.8,10.5,21.4,1.7,4.4,3.7,0.3,22.1,0,0,5,29.8,0
20.3,47.0,5,1948,1.9,6.3,24.0,0.1,4.1,0.0,0.1,21.1,1,1,5,21.84,1
25.7,62.7,6,2313,5.6,9.0,22.7,1.0,4.4,3.4,2.7,7.5,0,1,5,36.05,1
31.1,53.4,1,1196,2.7,12.6,24.0,2.9,3.5,0.0,0.2,22.6,0,1,1,28.01,1
25.9,69.0,1,719,4.9,13.0,24.0,2.3,3.3,0.0,0.6,17.2,0,0,5,23.02,1
36.0,67.1,3,963,7.1,10.4,14.5,1.3,5.8,1.8,0.6,6.2,0,0,5,28.11,1
37.5,41.1,2,1577,6.5,12.4,18.8,5.6,1.3,4.8,3.3,19.5,0,1,9,38.91,1
27.5,91.9,6,400,2.4,9.5,20.8,1.0,3.8,6.3,2.1,22.2,1,1,4,27.53,1
31.8,52.2,6,1274,2.8,8.2,11.9,0.4,4.9,8.4,1.0,18.7,0,1,1,31.74,1
39.0,85.1,4,749,8.5,7.2,10.5,0.6,1.5,4.9,1.0,4.0,1,0,2,26.13,1
27.3,66.3,2,495,1.5,3.1,17.0,1.0,4.7,1.7,2.2,7.6,0,0,4,17.69,1
24.5,59.6,3,977,6.1,7.4,17.5,0.9,2.7,3.0,0.6,30.0,0,1,9,27.56,1
26.9,32.5,3,1518,2.7,7.5,13.1,3.2,5.3,0.8,1.8,12.6,0,1,8,27.71,1
22.1,54.2,2,1094,8.2,12.8,15.8,1.7,3.8,3.9,0.5,16.4,0,0,12,28.5,1
